higherGeography,pcr_primer_name_forward,phylum,class,order,family,species,asvs,reads
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Centrarchiformes,Terapontidae,1,2,28
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Centrarchiformes,,0,2,966
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Clupeiformes,Clupeidae,1,1,37
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Clupeiformes,Dorosomatidae,1,2,43
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Clupeiformes,Spratelloididae,1,18,50003
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Cypriniformes,Cyprinidae,0,4,1515
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Caesionidae,1,21,68584
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Gerreidae,1,40,1518470
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,1,16,40405
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,13,134,111161
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Lethrinidae,3,20,11744
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,5,106,396799
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Monodactylidae,1,9,135439
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,1,2,14
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,5,48,47033
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,1,2,41
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Gobiiformes,Eleotridae,0,14,13727
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Gobiiformes,Gobiidae,4,70,113786
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Gobiiformes,Kraemeriidae,1,6,2775
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Gobiiformes,,0,3,48
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Gonorynchiformes,Chanidae,1,6,4773
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Holocentriformes,Holocentridae,2,83,120673
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Kurtiformes,Apogonidae,2,32,42752
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Lophiiformes,Antennariidae,0,3,545
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Mugiliformes,Mugilidae,4,13,16631
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Mulliformes,Mullidae,3,39,47663
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Myctophiformes,Myctophidae,2,13,4070
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,10,88,167373
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Perciformes,Nototheniidae,1,1,8
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Perciformes,Serranidae,5,78,108484
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Perciformes,,0,3,185
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Pleuronectiformes,Bothidae,2,18,6051
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Scombriformes,Chiasmodontidae,1,1,6
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Scombriformes,Scombridae,0,8,4080
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Syngnathiformes,Fistulariidae,1,4,899
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Tetraodontiformes,Balistidae,7,63,111208
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Tetraodontiformes,Diodontidae,1,4,623
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,3,22,12433
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,5,30,17767
Aldabra Atoll,MiFish-UE-F,Chordata,Teleostei,Tetraodontiformes,,0,3,483
Aldabra Atoll,MiFish-UE-F,Chordata,,Testudines,,0,9,11757
Aldabra Atoll,MiFish-UE-F,Chordata,,,,0,1623,705702
Aldabra Atoll,MiFish-UE-F,Cnidaria,Anthozoa,Scleractinia,Leptastreidae,0,1,27
Aldabra Atoll,MiFish-UE-F,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,0,1,28
Aldabra Atoll,MiFish-UE-F,Cryptophyta,Cryptophyceae,Pyrenomonadales,,0,1,136
Aldabra Atoll,MiFish-UE-F,Cryptophyta,Cryptophyceae,,,0,2,650
Aldabra Atoll,MiFish-UE-F,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,1,3,361
Aldabra Atoll,MiFish-UE-F,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,2,3,47
Aldabra Atoll,MiFish-UE-F,Mollusca,Gastropoda,Pteropoda,Creseidae,1,1,5
Aldabra Atoll,MiFish-UE-F,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,1,1,6
Aldabra Atoll,MiFish-UE-F,Myzozoa,Dinophyceae,Syndiniales,Syndiniaceae,0,1,21
Aldabra Atoll,MiFish-UE-F,Nemertea,Palaeonemertea,Archinemertea,Cephalotrichellidae,0,1,38
Aldabra Atoll,MiFish-UE-F,Planctomycetes,Planctomycetacia,Planctomycetales,,0,1,6
Aldabra Atoll,MiFish-UE-F,Porifera,Demospongiae,Clionaida,Clionaidae,1,1,7
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria incertae sedis,,0,1,3
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,0,2,44
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Alphaproteobacteria,,,0,27,182689
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,0,5,143
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,0,1,41
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Deltaproteobacteria,,,0,7,205
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Epsilonproteobacteria,,,0,3,191
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,0,1,119
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,0,1,153
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,0,1,7
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,0,1,2
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,0,1,13
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,0,1,8
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Oceanospirillales,,0,15,300293
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,1,5,267
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,0,1,5
Aldabra Atoll,MiFish-UE-F,Proteobacteria,Gammaproteobacteria,,,0,49,1597875
Aldabra Atoll,MiFish-UE-F,Proteobacteria,,,,0,6,390
Aldabra Atoll,MiFish-UE-F,Rhodophyta,Florideophyceae,Ceramiales,,0,1,14
Aldabra Atoll,MiFish-UE-F,Spirochaetes,Spirochaetes(Class),Spirochaetales,Spirochaetaceae,0,1,9
Aldabra Atoll,MiFish-UE-F,Verrucomicrobia,,,,0,3,49
Aldabra Atoll,MiFish-UE-F,,,,,0,4282,1108510
Aldabra Atoll,MiMammal-UEB-F,Actinobacteria,,,,0,3,22
Aldabra Atoll,MiMammal-UEB-F,Arthropoda,Copepoda,Calanoida,Calanidae,1,1,4
Aldabra Atoll,MiMammal-UEB-F,Arthropoda,Copepoda,Calanoida,Clausocalanidae,1,2,106
Aldabra Atoll,MiMammal-UEB-F,Arthropoda,Copepoda,Calanoida,Paracalanidae,2,2,8
Aldabra Atoll,MiMammal-UEB-F,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,1,2,107
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,3,18,1278
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,Bacillariophyceae,Hemiaulales,Bellerocheaceae,1,2,230
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,1,7,4478
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,1,1,4
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,0,2,90
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,Bacillariophyceae,Triceratiales,Plagiogrammaceae,0,1,25
Aldabra Atoll,MiMammal-UEB-F,Bacillariophyta,,,,0,1,47
Aldabra Atoll,MiMammal-UEB-F,Chlorophyta,Pyramimonadophyceae,Prasinococcales,Prasinococcaceae,0,1,5
Aldabra Atoll,MiMammal-UEB-F,Chordata,Aves,Charadriiformes,Scolopacidae,1,2,195
Aldabra Atoll,MiMammal-UEB-F,Chordata,Aves,Columbiformes,Columbidae,0,3,645
Aldabra Atoll,MiMammal-UEB-F,Chordata,Aves,Pelecaniformes,Fregatidae,1,1,9
Aldabra Atoll,MiMammal-UEB-F,Chordata,Aves,Pelecaniformes,Sulidae,1,1,65
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,3,12,31332
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,1,2,129
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Myliobatiformes,Aetobatidae,1,4,4303
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,4,33,132209
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,1,3,171
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,1,6,4622
Aldabra Atoll,MiMammal-UEB-F,Chordata,Elasmobranchii,Rhinopristiformes,Glaucostegidae,1,1,5
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,Carnivora,Otariidae,0,3,84
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,Carnivora,Phocidae,1,2,79
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,Cetartiodactyla,Balaenidae,0,1,41
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,Cetartiodactyla,Delphinidae,1,9,50831
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,Primates,Hominidae,0,24,16043
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,Primates,,0,9,13282
Aldabra Atoll,MiMammal-UEB-F,Chordata,Mammalia,,,0,91,92362
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Acanthuriformes,Acanthuridae,11,145,254856
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,3,35,12460
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Acanthuriformes,Ephippidae,1,6,6796
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,1,3,2031
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Acanthuriformes,Zanclidae,1,6,9212
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Acropomatiformes,Pempheridae,1,6,718
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Albuliformes,Albulidae,1,21,302976
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Anguilliformes,Congridae,2,5,4336
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Anguilliformes,Moringuidae,2,6,1452
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Anguilliformes,Muraenidae,12,96,47820
Aldabra Atoll,MiMammal-UEB-F,Chordata,Teleostei,Anguilliformes,Ophichthidae,7,29,6819
